subject,message,label,
typology of historical change,"typology of historical change this note tries to make explicit what i take for granted , and have discussed with others on occasion , but which perhaps needs a more explicit statement . one of the most fruitful avenues of research in distant language comparison , i believe , is the growth of the field i call typology of historical change . under this rubric i include for example the work of johanna nichols ( whether or not i agree with any data , findings or particulars of method , is not relevant to my point ; i still think it helps our thinking along ) . i also include , and this is a challenge i want to issue , the * * * mode of discourse * * * in which mr . vovin asked recently for help in finding typological parallels to a hypothesis he was interested in that a phrase meaning "" water falls "" could fossilize ( ? ) into a basic word for "" rain "" . in response to his query , he got back some positive answers , examples which people claimed fit this description . as a method of reasoning , this is what we need more of . that is , more accumulations of attested examples of particular changes , to educate our intuitions of what we naively think are "" possible "" semantic shifts by ever more experience with what actual semantic shifts are known or suspected . it will help us to improve our methods of guestimating possible language relationships , because it will at least say that a given hypothesized semantic shift is frequently attested , so it is not straining to compare lexical items whose meanings differ in such and such a way . whereas by contrast another hypothesized semantic shift is not firmly attested . so such an unattested semantic shift should probably not be used in those distant language comparisons which are themselves the most difficult to do , because over large time spans the number of context-sensitive conditioning environments is as great as the number of lexical items available to compare , and thus there are few or no * * * recurring * * * sound correspondences . in other words , as we move towards deeper comparisons , we must more and more rely on ways of measuring "" distance "" of semantic shift and "" distance "" of phonological change , rather than measuring repeating sound correspondences and semantic identities . we do not yet have our tools for doing this very well sharpened , but we can proceed gradually to sharpen them . a study of the known attested cases is the best start . in other words , if someone really wants to see how our methods fare with gradually more distant language comparisons , and to see how some new methods may fare , they should tabulate , for all known language relationships , ( a ) the proportion of sound-correspondence repetition in the comparable vocabulary ( and what "" comparable "" means is itself a variable , not exclusively defined by ( b ) and ( c ) ) ( b ) the "" semantic distance "" along attested paths of semantic change of lexical items being compared . where multiple such shifts have been attested , the estimated "" distance "" counts as closer , smaller . where few such shifts have been attested , the estimated "" distance "" counts as greater . we of course do not have enough such information in database form to use at present , but whatever we do have can be used provisionally , as explained in ( d ) ( c ) the "" phonetic distance "" along attested paths of phonetic change of lexical items being compared . there is relatively more of this knowledge available than for phonological change . ( d ) exploring how the three measures above vary as we go to greater time depths . that is , using first the more assured cases , then the less assured ones , how does a weighted average of "" closeness "" of compared lexical items vary as we go to increasing time depths ? how does the proportion of regular and often recurring sound correspondences to unique or rarely recurring sound correspondences vary as we go to increasing time depths ? it is the development of the tools in ( b , c ) which will most advance our abilities to compare at greater time depths , improve our methods . i will be very grateful to anyone who points me to studies which approximate to parts of the program outlined just above . "" the comparative method "" currently does not have the benefit of fully developed tools of this kind . to that degree , the current comparative methods can be considered less rigorous than they ought to be , and for that reason not as powerful at distant language comparisons as they will sometime come to be . a future comparative method can use these tools more and more precisely . the real challenge today to existing comparativists is to avoid artificially fossilizing the term "" the comparative method "" , to avoid treating its methods as fixed and not subject to improvement and supplementing with newer and more powerful methods , as are the methods in any other science . it would be healthy if the word "" the "" were dropped from the term and it were made a mass or plural term "" comparative methods "" . that implies no lessening of rigor . indeed , as i have been at pains to point out above , i firmly believe some of the limitations of the present state of comparative methods result from a * * * lack of rigor * * * in the area of the typology of possible changes ( phonetic , semantic , grammatical ) . work discussed by bill croft in the topic of syntactic reconstruction and typology is certainly relevant to the concerns raised here . i think we are seeing the beginnings of a new paradigm in the focus on paths of change in language , and comparative-historical linguists will be left behind if they do not add these techniques to their box of tools ( while keeping all the good techniques they already have ) . lloyd anderson
",0,
list of language lists version 1 . a,"the loll is now available by anonymous ftp to midir . ucd . ie in / pub / everson . michael everson school of architecture , ucd ; richview , clonskeagh ; dublin 14 ; e / ire phone : + 353 1 706-2745 fax : + 353 1 283-7778 home : + 353 1 478-2597
",0,
"university of alabama , ma-tesol program","the department of english of the university of alabama invites applications for a tenure track assistant professor position in our m . a . - tesol program , starting in august of 1995 . duties include teaching ( 2 courses / semester ) , research and service ; our m . a . - tesol faculty work closely with our colleagues in ua 's english language institute ( eli ) . a ph . d . in applied linguistics or tesol is required , with strengths in language teaching methodology and second language acquisition theory . competence in at least one other language is expected , and international teaching experience is highly desirable . preference will be given to candidates who have an interest in working with our faculty in rhetoric and composition , and who would welcome collaboration with colleagues in foreign language departments through our emerging m . a . t . program in the college of arts and sciences . we will also give preference to candidates with an interest in classroom-oriented research , who see research opportunities in ( 1 ) our large freshman composition program with separate sections for non-native english speakers , ( 2 ) ua 's independently-administered intensive eli with a large internal program and frequent external programs , and ( 3 ) ua 's well-developed self-instructional language program ( critical languages ) . located on the black warrior river in west-central alabama , tuscaloosa is a university town of about 100 , 000 people with a mild climate and reasonable living costs . we are 50 miles southwest of birmingham and within a half day 's drive of atlanta , the great smoky mountains , nashville , memphis , new orleans and the gulf coast . send letter of application , c . v . , names of 3 references , and any representative publications to catherine davies , chair of the tesol search committee , dept . of english , box 870244 , university of alabama , tuscaloosa , alabama , 35487-0244 . the university of alabama is an affirmative action / equal opportunity employer . the search will remain open until the position is filled ; however , the search committee will begin reviewing applications on dec . 1 , 1994 . there is a possibility that we may interview at the lsa meeting in new orleans ( as well as at the aaal / tesol meetings in long beach if necessary ) ; applicants should let us know about their conference plans . catherine e . davies dept . of english , box 870244 university of alabama tuscaloosa , alabama 35487-0244 ( 205 ) 348-9522
",0,
"relative pronouns for the family pet , cont 'd","in connection with the recent thread - - initiated , if memory serves , by alexis manaster - ramer - - on the cross-linguistic patterns of + / - animate pronouns referring back to higher non-human mammalia , some new data from today 's new york times ( 12 / 6 / 94 , b1 ) may be of interest . a sheepdog intercepted by suspicious customs officials at new york 's jfk airport was x-rayed and found to be carrying five pounds of cocaine surgically implanted in her abdomen before she took off from bogota . a suspect , john erik roa of paterson , n . j . , has admitted that he knew the dog was concealing the cocaine and has been charged with drug trafficking . ( no doubt he plans to ask for immunity in exchange for testifying against the dog . ) what 's anaphorically relevant about the case is the contrast between the relative pronouns ( emphasis added below ) referring back to "" coke "" ( as she has been nicknamed by kennedy vet port director dr . steven weinstein ) and a fellow canine mentioned in the write-up in the times : . . . fortunately for the dog , which is gray and white and about two feet high , none of the condoms had ruptured , which [ dr . weinstein ] said would have been fatal . . . . mr . roa 's brother , andre , reached at the family home in paterson last night , said that his brother had worked in a pizza parlor until about two months ago , when he moved out of the hous . he said the family had a dog of its own , a german shepherd , which he described as a "" family dog who has nothing to do with drugs "" . larry horn ( lhorn @ yalevm . ycc . yale . edu )
",0,
sapir-whorf,"i ' m not sure if i ' m beating a dead horse , so to speak , but i do n't feel i can let david prager branner 's comment below slip by . ) in that form in which it is often articulated , sapir - whorf is obvious , ) even trivial - anyone who has tried doing idiomatic translation between ) two radically different languages knows that language positively rules ) the way we think . this is too fully self-evident to justify listing ) examples and testimonials . i have done translation between english and spanish , and i do n't know if they count as radically different , but my conclusion from that experience was hardly the same as branner 's . i would say instead that language positively rules how we express ourselves , not how we think . now , i suspect , along with branner , that sapir - whorf is not really a hypothesis , and it is certainly not a coherent one as it is stated since "" think "" can be construed in many different ways . i suspect that my disagreement with branner here is as much a function of how we use that word as substantially about how language shapes or does n't shape congitive processes . michael newman dept . of educational theory & practice the ohio state university mnewman @ magnus . acs . ohio-state . edu
",0,
,"language sciences editor : paul hopper , usa "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" contents - volume 16 , no . 2 j . levinger language war-war language . v . stockmal et al can children identify samples of foreign languages as same or different ? j . myhill & zhiqun xing a comparison of the function of voice in biblical hebrew , chinese and english . d . r . preston content - oriented discourse analysis and folk linguistics . "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" elsevier science ltd freesample @ elsevier . co . uk "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
",0,
re : 5 . 1470 open letter to _ language _,"many readers of linguist ( and of language ) are , as the open letter indicates , interested in methodological issues that come up in efforts to establish very distant linguistic relationships like nostratic . although it 's true that language has published no review of illich - svitych 's books - - the scholar who agreed to review them has not yet submitted the promised review - - research in the same tradition has been reviewed in the journal : see bernard comrie 's review of starostin 's book on altaic and japanese in language 69 : 828-832 ( 1993 ) . the methodological issues involved in the altaic & japanese case are the same as the issues involved in the nostratic case , so i ' m puzzled by the open-letter signers ' apparent belief that the russian approach to these issues has received no attention in language . sarah thomason editor , language
",0,
re : 5 . 1448 comparative method,"the ongoing discussions about the comparative method do not seem to be getting anywhere on achieving real consensus in greenberg and anti - greenberg camps on the question of what would could as valid evidence that certain language families are related at a large time depth . i wonder if it would not be a good idea to hear something - - from the defenders of wide-ranging and large-time - depth comparison , preferably - - concerning what would count as evidence against a genetic relationship ? as a concrete example , take the fact , recently cited by poser , that all the muskogean evidence in greenberg 's book has been found to be tainted by data errors ( geoffrey d . kimball , a critique of muskogean , "" gulf "" , and yukian material in _ language in the americas _ , ijal 58 ( 1992 ) , 447-501 ) . i can imagine how one might want to maintain that even this total collapse of the case on muskogean merely puts us back in a state of being neutral , a priori , on whether muskogean languages are related to other amerindian languages , or to nostratic for that matter . anti - greenberg amerindianists are perfectly prepared to agree that the amerind languages might have descended from a common source now lost . that 's neutrality . but suppose we move from that neutrality to the position that we will assume as a default that muskogean is amerind , and so are all the languages of south america , and indeed , that amerind is related to sino - tibetan and both to indo - european and thus nostratic and all of the above to khoisan . . . let us assume for the sake of argument that the world 's languages are all genetically related ; but let us take this to be an empirical assumption - - not just a willingness to reject the closet racism that poser says ruhlen once alleged in his critics , or a yearning to find universal brotherhood , but an assumption against which evidence can in principle count . now , what sort of linguistic evidence would count , for greenberg and ruhlen and illich - svitych , as disproving the inclusion of muskogean or any other family in in the conjectural ( though tentatively assumed ) proto - gaeic ? that is , what sort of data pattern or configuration of phonological and grammatical properties could suffice to make the macrocomparativists throw in the towel and go outside to meet the press and concede defeat ? there ought to be some imaginable scenario that would end up with ruhlen telling a group of reporters from the stanford daily and american scientist and other supermarket tabloids , "" well , we thought we could sustain the whole proto - gaeic thing , but that set of paradigms on haida has us beat ; we ' ve had to concede the haida case ; according to our tests , haida is unrelated to the other human languages . "" ( much scope for new press attention here : "" haida indians are aliens from space , top expert admits . "" ) but what sort of scenario would it have to be , to get the greenberg camp to admit that it was in grave trouble on some relatedness claim ? to be fair , orthodox comparativists might well say that if you put it like this , no answer should be expected . one can argue that a certain methodology applied to a certain set of data yield no evidence for relatedness between burushaski and bushman , but not that it refutes such a relatedness . a positivist view of historical linguistics would see it as maintaining hypotheses about verifiable relatednesses in a very particular form : when i say that german "" pfennig "" comes from an earlier germanic form with initial "" p "" that will be seen in languages like english with no history of a high german sound shift , i am counted as having been supported by the observation that english speakers say "" penny "" ; if the form turned out to be "" twenny "" i would be in trouble ; given german "" pfund "" i am committed to something like "" pund "" in english , and ( given the great english vowel shift ) the discovery of "" pound "" is more good news for me ; and so on . the predictions i am making are about an indefinitely extensible set of pairs ( ger : pfxxx , eng : pxxx ) . now , the falsity of one of these could conceivably taken to refute brittle forms of the hypothesis that english cognates of german pf-words always begin with p - , but it is n't nearly enough to be counterevidence to the whole english / german relatedness claim , of course . that claim would not be given up unless there was a complete collapse of all the evidence : if "" pound "" was established textually to have been a coinage by a novelist who had never heard german , if "" penny "" was shown to be borrowed from italian "" penne "" during a period when pasta had been used for small change , and then all the other sound correspondences started collapsing as well . i ' m asking this : if the 100 % collapse of greenberg 's muskogean evidence , as alleged by kimball , does not count as a complete collapse of the case that muskogean is included in amerind ( hence , a fortiori , of the case that it is in proto - gaeic ) , then i think i need some help in understanding what could be evidence against that inclusion . there had better be something . + - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - + | g e o f f r e y k . p u l l u m * pullum @ cats . ucsc . edu | | stevenson college , university of california , santa cruz , california 95064 | | ( 408 ) 459-4705 * messages ( 408 ) 459-2555 / 2905 * fax ( 408 ) 459-3334 | + - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - +
",0,
cgsw10 program,"announcing cgsw10 the 10th comparative germanic syntax workshop , organised jointly by the catholic university of brussels , and the p . j . meertens institute for dialectology ( amsterdam ) will take place in brussels on january 17-19 , 1995 . the program tuesday january 17 18 : 00 : registration and reception at conference venue : vrijheidslaan 17 , b-1080 brussels ( metro simonis ) wednesday , january 18 10 : 00 - 10 : 30 : coffee and formal opening 10 : 30 - 11 : 00 : t . taraldsen ( tromso ) case , subject-orientation and agreement in icelandic and faroese 11 : 00 - 11 : 30 : j . zwarts ( utrecht ) simple and complex prepositions and p - stranding in dutch 11 : 30 - 12 : 00 : coffee 12 : 00 - 12 : 30 : h . bennis ( leiden ) , f . beukema ( leiden ) & m . den dikken ( vu , amsterdam ) getting verb movement 12 : 30 - 14 : 00 : lunch 14 : 00 - 14 : 30 : s . barbiers ( leiden ) an antisymmetric analysis of pp extraposition 14 : 30 - 15 : 00 : t . hoekstra ( leiden ) & j . rooryck ( leiden ) dynamic and stative have 15 : 00 - 15 : 30 : e . haeberli ( geneve ) morphological case , pro and word order 15 : 30 - 16 : 00 : coffee 16 : 00 - 16 : 30 : e . - p . kester ( utrecht ) adjectival inflection and licensing conditions on null nouns 16 : 30 - 17 : 00 : e . hoekstra ( meertens , amsterdam ) & m . den dikken ( vu , amsterdam ) parasitic participles thursday , january 19 10 : 00 - 10 : 30 : j . bobaljik ( mit ) the morphological determination of germanic syntax 10 : 30 - 11 : 00 : d . buering ( koeln ) & k . hartmann ( frankfurt ) extraposition , qr , and association with focus 11 : 00 - 11 : 30 : coffee 11 : 30 - 12 : 00 : e . groat ( harvard ) overt and null expletives in germanic 12 : 00 - 12 : 30 : s . menuzzi ( leiden ) on double object constructions in icelandic 12 : 30 - 14 : 00 : lunch 14 : 00 - 14 : 30 : m . everaert ( utrecht ) binding and the inert / active distinction 14 : 30 - 15 : 00 : a . henry ( ulster ) v2 phenomena in belfast english 15 : 00 - 15 : 30 : coffee 15 : 30 - 16 : 00 : f . weerman ( utrecht ) morphological case and null case 16 : 00 - 16 : 30 : j . - w . zwart ( groningen ) the composition of auxiliaries and the placement of participles in dutch travel and hotel information : a file with travel and hotel information will be sent to you upon simple request ( e-mail or coupon below ) . registration and conference lunches : advance registration : $ 20 / bef 700 ( $ 10 / bef 350 for students ) on - site registration : $ 30 / bef 1 , 000 ( $ 20 / bef 700 for students ) advance registration can be made by sending in the coupon below , and by forwarding the required amount into postal account # 000-0536088 - 66 of ku brussel , vrijheidslaan 17 , b-1080 brussels . please mention that you are registering for cgsw10 ; do not forget to add bank charges to the above amounts . the deadline for advance registration is january 9 , 1995 . there are a number of restaurants in the immediate vicinity of the university ; however , given any sizable number of conference participants , this may lead to substantive overcrowding and consequent delays . for this reason , the organisers will arrange for a caterer to provide two lunches on the university premises . since it is vital that we should know in advance how many lunches to order , you must book your lunch in advance by sending in the coupon below . for the lunches , no advance payment is required . cut here - - - - - - name : address : e - mail : 0 i will register on-site 0 i have transferred the registration fee in the amount of 0 bef 1 , 000 0 bef 750 ( student rate ) to postal account # 000-0536088 - 66 . 0 i want to order a conference lunch for wednesday january 18 at bef 400 0 i want to order a conference lunch for thursday january 19 at bef 400 0 please send me hotel and travel information mail , fax , or e-mail this coupon to : ku brussel cgsw10 ( g . vanden wyngaerd ) vrijheidslaan 17 b-1080 brussel belgium tel + 32 2 412 4349 fax + 32 2 412 4200 email : haaam08 @ cc1 . kuleuven . ac . be
",0,
fonts,"+ - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - + | this has been sent to a couple of | | lists , so i apologize in advance if | | anybody receives multiple copies . | + - - - - - - - - - - - - - - - - - - - - - - - - - - - - -",0,
